"date","people_vaccinated","population","vaccination_percentage","vaccination_status"
"2020-02-07",NULL,"36910558",NULL,"Low"
"2020-02-08",NULL,"36910558",NULL,"Low"
"2020-02-09",NULL,"36910558",NULL,"Low"
"2020-02-10",NULL,"36910558",NULL,"Low"
"2020-02-11",NULL,"36910558",NULL,"Low"
"2020-02-12",NULL,"36910558",NULL,"Low"
"2020-02-13",NULL,"36910558",NULL,"Low"
"2020-02-14",NULL,"36910558",NULL,"Low"
"2020-02-15",NULL,"36910558",NULL,"Low"
"2020-02-16",NULL,"36910558",NULL,"Low"
"2020-02-17",NULL,"36910558",NULL,"Low"
"2020-02-18",NULL,"36910558",NULL,"Low"
"2020-02-19",NULL,"36910558",NULL,"Low"
"2020-02-20",NULL,"36910558",NULL,"Low"
"2020-02-21",NULL,"36910558",NULL,"Low"
"2020-02-22",NULL,"36910558",NULL,"Low"
"2020-02-23",NULL,"36910558",NULL,"Low"
"2020-02-24",NULL,"36910558",NULL,"Low"
"2020-02-25",NULL,"36910558",NULL,"Low"
"2020-02-26",NULL,"36910558",NULL,"Low"
"2020-02-27",NULL,"36910558",NULL,"Low"
"2020-02-28",NULL,"36910558",NULL,"Low"
"2020-02-29",NULL,"36910558",NULL,"Low"
"2020-03-01",NULL,"36910558",NULL,"Low"
"2020-03-02",NULL,"36910558",NULL,"Low"
"2020-03-03",NULL,"36910558",NULL,"Low"
"2020-03-04",NULL,"36910558",NULL,"Low"
"2020-03-05",NULL,"36910558",NULL,"Low"
"2020-03-06",NULL,"36910558",NULL,"Low"
"2020-03-07",NULL,"36910558",NULL,"Low"
"2020-03-08",NULL,"36910558",NULL,"Low"
"2020-03-09",NULL,"36910558",NULL,"Low"
"2020-03-10",NULL,"36910558",NULL,"Low"
"2020-03-11",NULL,"36910558",NULL,"Low"
"2020-03-12",NULL,"36910558",NULL,"Low"
"2020-03-13",NULL,"36910558",NULL,"Low"
"2020-03-14",NULL,"36910558",NULL,"Low"
"2020-03-15",NULL,"36910558",NULL,"Low"
"2020-03-16",NULL,"36910558",NULL,"Low"
"2020-03-17",NULL,"36910558",NULL,"Low"
"2020-03-18",NULL,"36910558",NULL,"Low"
"2020-03-19",NULL,"36910558",NULL,"Low"
"2020-03-20",NULL,"36910558",NULL,"Low"
"2020-03-21",NULL,"36910558",NULL,"Low"
"2020-03-22",NULL,"36910558",NULL,"Low"
"2020-03-23",NULL,"36910558",NULL,"Low"
"2020-03-24",NULL,"36910558",NULL,"Low"
"2020-03-25",NULL,"36910558",NULL,"Low"
"2020-03-26",NULL,"36910558",NULL,"Low"
"2020-03-27",NULL,"36910558",NULL,"Low"
"2020-03-28",NULL,"36910558",NULL,"Low"
"2020-03-29",NULL,"36910558",NULL,"Low"
"2020-03-30",NULL,"36910558",NULL,"Low"
"2020-03-31",NULL,"36910558",NULL,"Low"
"2020-04-01",NULL,"36910558",NULL,"Low"
"2020-04-02",NULL,"36910558",NULL,"Low"
"2020-04-03",NULL,"36910558",NULL,"Low"
"2020-04-04",NULL,"36910558",NULL,"Low"
"2020-04-05",NULL,"36910558",NULL,"Low"
"2020-04-06",NULL,"36910558",NULL,"Low"
"2020-04-07",NULL,"36910558",NULL,"Low"
"2020-04-08",NULL,"36910558",NULL,"Low"
"2020-04-09",NULL,"36910558",NULL,"Low"
"2020-04-10",NULL,"36910558",NULL,"Low"
"2020-04-11",NULL,"36910558",NULL,"Low"
"2020-04-12",NULL,"36910558",NULL,"Low"
"2020-04-13",NULL,"36910558",NULL,"Low"
"2020-04-14",NULL,"36910558",NULL,"Low"
"2020-04-15",NULL,"36910558",NULL,"Low"
"2020-04-16",NULL,"36910558",NULL,"Low"
"2020-04-17",NULL,"36910558",NULL,"Low"
"2020-04-18",NULL,"36910558",NULL,"Low"
"2020-04-19",NULL,"36910558",NULL,"Low"
"2020-04-20",NULL,"36910558",NULL,"Low"
"2020-04-21",NULL,"36910558",NULL,"Low"
"2020-04-22",NULL,"36910558",NULL,"Low"
"2020-04-23",NULL,"36910558",NULL,"Low"
"2020-04-24",NULL,"36910558",NULL,"Low"
"2020-04-25",NULL,"36910558",NULL,"Low"
"2020-04-26",NULL,"36910558",NULL,"Low"
"2020-04-27",NULL,"36910558",NULL,"Low"
"2020-04-28",NULL,"36910558",NULL,"Low"
"2020-04-29",NULL,"36910558",NULL,"Low"
"2020-04-30",NULL,"36910558",NULL,"Low"
"2020-05-01",NULL,"36910558",NULL,"Low"
"2020-05-02",NULL,"36910558",NULL,"Low"
"2020-05-03",NULL,"36910558",NULL,"Low"
"2020-05-04",NULL,"36910558",NULL,"Low"
"2020-05-05",NULL,"36910558",NULL,"Low"
"2020-05-06",NULL,"36910558",NULL,"Low"
"2020-05-07",NULL,"36910558",NULL,"Low"
"2020-05-08",NULL,"36910558",NULL,"Low"
"2020-05-09",NULL,"36910558",NULL,"Low"
"2020-05-10",NULL,"36910558",NULL,"Low"
"2020-05-11",NULL,"36910558",NULL,"Low"
"2020-05-12",NULL,"36910558",NULL,"Low"
"2020-05-13",NULL,"36910558",NULL,"Low"
"2020-05-14",NULL,"36910558",NULL,"Low"
"2020-05-15",NULL,"36910558",NULL,"Low"
"2020-05-16",NULL,"36910558",NULL,"Low"
"2020-05-17",NULL,"36910558",NULL,"Low"
"2020-05-18",NULL,"36910558",NULL,"Low"
"2020-05-19",NULL,"36910558",NULL,"Low"
"2020-05-20",NULL,"36910558",NULL,"Low"
"2020-05-21",NULL,"36910558",NULL,"Low"
"2020-05-22",NULL,"36910558",NULL,"Low"
"2020-05-23",NULL,"36910558",NULL,"Low"
"2020-05-24",NULL,"36910558",NULL,"Low"
"2020-05-25",NULL,"36910558",NULL,"Low"
"2020-05-26",NULL,"36910558",NULL,"Low"
"2020-05-27",NULL,"36910558",NULL,"Low"
"2020-05-28",NULL,"36910558",NULL,"Low"
"2020-05-29",NULL,"36910558",NULL,"Low"
"2020-05-30",NULL,"36910558",NULL,"Low"
"2020-05-31",NULL,"36910558",NULL,"Low"
"2020-06-01",NULL,"36910558",NULL,"Low"
"2020-06-02",NULL,"36910558",NULL,"Low"
"2020-06-03",NULL,"36910558",NULL,"Low"
"2020-06-04",NULL,"36910558",NULL,"Low"
"2020-06-05",NULL,"36910558",NULL,"Low"
"2020-06-06",NULL,"36910558",NULL,"Low"
"2020-06-07",NULL,"36910558",NULL,"Low"
"2020-06-08",NULL,"36910558",NULL,"Low"
"2020-06-09",NULL,"36910558",NULL,"Low"
"2020-06-10",NULL,"36910558",NULL,"Low"
"2020-06-11",NULL,"36910558",NULL,"Low"
"2020-06-12",NULL,"36910558",NULL,"Low"
"2020-06-13",NULL,"36910558",NULL,"Low"
"2020-06-14",NULL,"36910558",NULL,"Low"
"2020-06-15",NULL,"36910558",NULL,"Low"
"2020-06-16",NULL,"36910558",NULL,"Low"
"2020-06-17",NULL,"36910558",NULL,"Low"
"2020-06-18",NULL,"36910558",NULL,"Low"
"2020-06-19",NULL,"36910558",NULL,"Low"
"2020-06-20",NULL,"36910558",NULL,"Low"
"2020-06-21",NULL,"36910558",NULL,"Low"
"2020-06-22",NULL,"36910558",NULL,"Low"
"2020-06-23",NULL,"36910558",NULL,"Low"
"2020-06-24",NULL,"36910558",NULL,"Low"
"2020-06-25",NULL,"36910558",NULL,"Low"
"2020-06-26",NULL,"36910558",NULL,"Low"
"2020-06-27",NULL,"36910558",NULL,"Low"
"2020-06-28",NULL,"36910558",NULL,"Low"
"2020-06-29",NULL,"36910558",NULL,"Low"
"2020-06-30",NULL,"36910558",NULL,"Low"
"2020-07-01",NULL,"36910558",NULL,"Low"
"2020-07-02",NULL,"36910558",NULL,"Low"
"2020-07-03",NULL,"36910558",NULL,"Low"
"2020-07-04",NULL,"36910558",NULL,"Low"
"2020-07-05",NULL,"36910558",NULL,"Low"
"2020-07-06",NULL,"36910558",NULL,"Low"
"2020-07-07",NULL,"36910558",NULL,"Low"
"2020-07-08",NULL,"36910558",NULL,"Low"
"2020-07-09",NULL,"36910558",NULL,"Low"
"2020-07-10",NULL,"36910558",NULL,"Low"
"2020-07-11",NULL,"36910558",NULL,"Low"
"2020-07-12",NULL,"36910558",NULL,"Low"
"2020-07-13",NULL,"36910558",NULL,"Low"
"2020-07-14",NULL,"36910558",NULL,"Low"
"2020-07-15",NULL,"36910558",NULL,"Low"
"2020-07-16",NULL,"36910558",NULL,"Low"
"2020-07-17",NULL,"36910558",NULL,"Low"
"2020-07-18",NULL,"36910558",NULL,"Low"
"2020-07-19",NULL,"36910558",NULL,"Low"
"2020-07-20",NULL,"36910558",NULL,"Low"
"2020-07-21",NULL,"36910558",NULL,"Low"
"2020-07-22",NULL,"36910558",NULL,"Low"
"2020-07-23",NULL,"36910558",NULL,"Low"
"2020-07-24",NULL,"36910558",NULL,"Low"
"2020-07-25",NULL,"36910558",NULL,"Low"
"2020-07-26",NULL,"36910558",NULL,"Low"
"2020-07-27",NULL,"36910558",NULL,"Low"
"2020-07-28",NULL,"36910558",NULL,"Low"
"2020-07-29",NULL,"36910558",NULL,"Low"
"2020-07-30",NULL,"36910558",NULL,"Low"
"2020-07-31",NULL,"36910558",NULL,"Low"
"2020-08-01",NULL,"36910558",NULL,"Low"
"2020-08-02",NULL,"36910558",NULL,"Low"
"2020-08-03",NULL,"36910558",NULL,"Low"
"2020-08-04",NULL,"36910558",NULL,"Low"
"2020-08-05",NULL,"36910558",NULL,"Low"
"2020-08-06",NULL,"36910558",NULL,"Low"
"2020-08-07",NULL,"36910558",NULL,"Low"
"2020-08-08",NULL,"36910558",NULL,"Low"
"2020-08-09",NULL,"36910558",NULL,"Low"
"2020-08-10",NULL,"36910558",NULL,"Low"
"2020-08-11",NULL,"36910558",NULL,"Low"
"2020-08-12",NULL,"36910558",NULL,"Low"
"2020-08-13",NULL,"36910558",NULL,"Low"
"2020-08-14",NULL,"36910558",NULL,"Low"
"2020-08-15",NULL,"36910558",NULL,"Low"
"2020-08-16",NULL,"36910558",NULL,"Low"
"2020-08-17",NULL,"36910558",NULL,"Low"
"2020-08-18",NULL,"36910558",NULL,"Low"
"2020-08-19",NULL,"36910558",NULL,"Low"
"2020-08-20",NULL,"36910558",NULL,"Low"
"2020-08-21",NULL,"36910558",NULL,"Low"
"2020-08-22",NULL,"36910558",NULL,"Low"
"2020-08-23",NULL,"36910558",NULL,"Low"
"2020-08-24",NULL,"36910558",NULL,"Low"
"2020-08-25",NULL,"36910558",NULL,"Low"
"2020-08-26",NULL,"36910558",NULL,"Low"
"2020-08-27",NULL,"36910558",NULL,"Low"
"2020-08-28",NULL,"36910558",NULL,"Low"
"2020-08-29",NULL,"36910558",NULL,"Low"
"2020-08-30",NULL,"36910558",NULL,"Low"
"2020-08-31",NULL,"36910558",NULL,"Low"
"2020-09-01",NULL,"36910558",NULL,"Low"
"2020-09-02",NULL,"36910558",NULL,"Low"
"2020-09-03",NULL,"36910558",NULL,"Low"
"2020-09-04",NULL,"36910558",NULL,"Low"
"2020-09-05",NULL,"36910558",NULL,"Low"
"2020-09-06",NULL,"36910558",NULL,"Low"
"2020-09-07",NULL,"36910558",NULL,"Low"
"2020-09-08",NULL,"36910558",NULL,"Low"
"2020-09-09",NULL,"36910558",NULL,"Low"
"2020-09-10",NULL,"36910558",NULL,"Low"
"2020-09-11",NULL,"36910558",NULL,"Low"
"2020-09-12",NULL,"36910558",NULL,"Low"
"2020-09-13",NULL,"36910558",NULL,"Low"
"2020-09-14",NULL,"36910558",NULL,"Low"
"2020-09-15",NULL,"36910558",NULL,"Low"
"2020-09-16",NULL,"36910558",NULL,"Low"
"2020-09-17",NULL,"36910558",NULL,"Low"
"2020-09-18",NULL,"36910558",NULL,"Low"
"2020-09-19",NULL,"36910558",NULL,"Low"
"2020-09-20",NULL,"36910558",NULL,"Low"
"2020-09-21",NULL,"36910558",NULL,"Low"
"2020-09-22",NULL,"36910558",NULL,"Low"
"2020-09-23",NULL,"36910558",NULL,"Low"
"2020-09-24",NULL,"36910558",NULL,"Low"
"2020-09-25",NULL,"36910558",NULL,"Low"
"2020-09-26",NULL,"36910558",NULL,"Low"
"2020-09-27",NULL,"36910558",NULL,"Low"
"2020-09-28",NULL,"36910558",NULL,"Low"
"2020-09-29",NULL,"36910558",NULL,"Low"
"2020-09-30",NULL,"36910558",NULL,"Low"
"2020-10-01",NULL,"36910558",NULL,"Low"
"2020-10-02",NULL,"36910558",NULL,"Low"
"2020-10-03",NULL,"36910558",NULL,"Low"
"2020-10-04",NULL,"36910558",NULL,"Low"
"2020-10-05",NULL,"36910558",NULL,"Low"
"2020-10-06",NULL,"36910558",NULL,"Low"
"2020-10-07",NULL,"36910558",NULL,"Low"
"2020-10-08",NULL,"36910558",NULL,"Low"
"2020-10-09",NULL,"36910558",NULL,"Low"
"2020-10-10",NULL,"36910558",NULL,"Low"
"2020-10-11",NULL,"36910558",NULL,"Low"
"2020-10-12",NULL,"36910558",NULL,"Low"
"2020-10-13",NULL,"36910558",NULL,"Low"
"2020-10-14",NULL,"36910558",NULL,"Low"
"2020-10-15",NULL,"36910558",NULL,"Low"
"2020-10-16",NULL,"36910558",NULL,"Low"
"2020-10-17",NULL,"36910558",NULL,"Low"
"2020-10-18",NULL,"36910558",NULL,"Low"
"2020-10-19",NULL,"36910558",NULL,"Low"
"2020-10-20",NULL,"36910558",NULL,"Low"
"2020-10-21",NULL,"36910558",NULL,"Low"
"2020-10-22",NULL,"36910558",NULL,"Low"
"2020-10-23",NULL,"36910558",NULL,"Low"
"2020-10-24",NULL,"36910558",NULL,"Low"
"2020-10-25",NULL,"36910558",NULL,"Low"
"2020-10-26",NULL,"36910558",NULL,"Low"
"2020-10-27",NULL,"36910558",NULL,"Low"
"2020-10-28",NULL,"36910558",NULL,"Low"
"2020-10-29",NULL,"36910558",NULL,"Low"
"2020-10-30",NULL,"36910558",NULL,"Low"
"2020-10-31",NULL,"36910558",NULL,"Low"
"2020-11-01",NULL,"36910558",NULL,"Low"
"2020-11-02",NULL,"36910558",NULL,"Low"
"2020-11-03",NULL,"36910558",NULL,"Low"
"2020-11-04",NULL,"36910558",NULL,"Low"
"2020-11-05",NULL,"36910558",NULL,"Low"
"2020-11-06",NULL,"36910558",NULL,"Low"
"2020-11-07",NULL,"36910558",NULL,"Low"
"2020-11-08",NULL,"36910558",NULL,"Low"
"2020-11-09",NULL,"36910558",NULL,"Low"
"2020-11-10",NULL,"36910558",NULL,"Low"
"2020-11-11",NULL,"36910558",NULL,"Low"
"2020-11-12",NULL,"36910558",NULL,"Low"
"2020-11-13",NULL,"36910558",NULL,"Low"
"2020-11-14",NULL,"36910558",NULL,"Low"
"2020-11-15",NULL,"36910558",NULL,"Low"
"2020-11-16",NULL,"36910558",NULL,"Low"
"2020-11-17",NULL,"36910558",NULL,"Low"
"2020-11-18",NULL,"36910558",NULL,"Low"
"2020-11-19",NULL,"36910558",NULL,"Low"
"2020-11-20",NULL,"36910558",NULL,"Low"
"2020-11-21",NULL,"36910558",NULL,"Low"
"2020-11-22",NULL,"36910558",NULL,"Low"
"2020-11-23",NULL,"36910558",NULL,"Low"
"2020-11-24",NULL,"36910558",NULL,"Low"
"2020-11-25",NULL,"36910558",NULL,"Low"
"2020-11-26",NULL,"36910558",NULL,"Low"
"2020-11-27",NULL,"36910558",NULL,"Low"
"2020-11-28",NULL,"36910558",NULL,"Low"
"2020-11-29",NULL,"36910558",NULL,"Low"
"2020-11-30",NULL,"36910558",NULL,"Low"
"2020-12-01",NULL,"36910558",NULL,"Low"
"2020-12-02",NULL,"36910558",NULL,"Low"
"2020-12-03",NULL,"36910558",NULL,"Low"
"2020-12-04",NULL,"36910558",NULL,"Low"
"2020-12-05",NULL,"36910558",NULL,"Low"
"2020-12-06",NULL,"36910558",NULL,"Low"
"2020-12-07",NULL,"36910558",NULL,"Low"
"2020-12-08",NULL,"36910558",NULL,"Low"
"2020-12-09",NULL,"36910558",NULL,"Low"
"2020-12-10",NULL,"36910558",NULL,"Low"
"2020-12-11",NULL,"36910558",NULL,"Low"
"2020-12-12",NULL,"36910558",NULL,"Low"
"2020-12-13",NULL,"36910558",NULL,"Low"
"2020-12-14",NULL,"36910558",NULL,"Low"
"2020-12-15",NULL,"36910558",NULL,"Low"
"2020-12-16",NULL,"36910558",NULL,"Low"
"2020-12-17",NULL,"36910558",NULL,"Low"
"2020-12-18",NULL,"36910558",NULL,"Low"
"2020-12-19",NULL,"36910558",NULL,"Low"
"2020-12-20",NULL,"36910558",NULL,"Low"
"2020-12-21",NULL,"36910558",NULL,"Low"
"2020-12-22",NULL,"36910558",NULL,"Low"
"2020-12-23",NULL,"36910558",NULL,"Low"
"2020-12-24",NULL,"36910558",NULL,"Low"
"2020-12-25",NULL,"36910558",NULL,"Low"
"2020-12-26",NULL,"36910558",NULL,"Low"
"2020-12-27",NULL,"36910558",NULL,"Low"
"2020-12-28",NULL,"36910558",NULL,"Low"
"2020-12-29",NULL,"36910558",NULL,"Low"
"2020-12-30",NULL,"36910558",NULL,"Low"
"2020-12-31",NULL,"36910558",NULL,"Low"
"2021-01-01",NULL,"36910558",NULL,"Low"
"2021-01-02",NULL,"36910558",NULL,"Low"
"2021-01-03",NULL,"36910558",NULL,"Low"
"2021-01-04",NULL,"36910558",NULL,"Low"
"2021-01-05",NULL,"36910558",NULL,"Low"
"2021-01-06",NULL,"36910558",NULL,"Low"
"2021-01-07",NULL,"36910558",NULL,"Low"
"2021-01-08",NULL,"36910558",NULL,"Low"
"2021-01-09",NULL,"36910558",NULL,"Low"
"2021-01-10",NULL,"36910558",NULL,"Low"
"2021-01-11",NULL,"36910558",NULL,"Low"
"2021-01-12",NULL,"36910558",NULL,"Low"
"2021-01-13",NULL,"36910558",NULL,"Low"
"2021-01-14",NULL,"36910558",NULL,"Low"
"2021-01-15",NULL,"36910558",NULL,"Low"
"2021-01-16",NULL,"36910558",NULL,"Low"
"2021-01-17",NULL,"36910558",NULL,"Low"
"2021-01-18",NULL,"36910558",NULL,"Low"
"2021-01-19",NULL,"36910558",NULL,"Low"
"2021-01-20",NULL,"36910558",NULL,"Low"
"2021-01-21",NULL,"36910558",NULL,"Low"
"2021-01-22",NULL,"36910558",NULL,"Low"
"2021-01-23",NULL,"36910558",NULL,"Low"
"2021-01-24",NULL,"36910558",NULL,"Low"
"2021-01-25",NULL,"36910558",NULL,"Low"
"2021-01-26",NULL,"36910558",NULL,"Low"
"2021-01-27",NULL,"36910558",NULL,"Low"
"2021-01-28",NULL,"36910558",NULL,"Low"
"2021-01-29",NULL,"36910558",NULL,"Low"
"2021-01-30",NULL,"36910558",NULL,"Low"
"2021-01-31",NULL,"36910558",NULL,"Low"
"2021-02-01",NULL,"36910558",NULL,"Low"
"2021-02-02",NULL,"36910558",NULL,"Low"
"2021-02-03",NULL,"36910558",NULL,"Low"
"2021-02-04",NULL,"36910558",NULL,"Low"
"2021-02-05",NULL,"36910558",NULL,"Low"
"2021-02-06",NULL,"36910558",NULL,"Low"
"2021-02-07",NULL,"36910558",NULL,"Low"
"2021-02-08",NULL,"36910558",NULL,"Low"
"2021-02-09",NULL,"36910558",NULL,"Low"
"2021-02-10",NULL,"36910558",NULL,"Low"
"2021-02-11",NULL,"36910558",NULL,"Low"
"2021-02-12",NULL,"36910558",NULL,"Low"
"2021-02-13",NULL,"36910558",NULL,"Low"
"2021-02-14",NULL,"36910558",NULL,"Low"
"2021-02-15",NULL,"36910558",NULL,"Low"
"2021-02-16",NULL,"36910558",NULL,"Low"
"2021-02-17",NULL,"36910558",NULL,"Low"
"2021-02-18",NULL,"36910558",NULL,"Low"
"2021-02-19","2357283","36910558","6.38647348544554650200","Low"
"2021-02-20","2447716","36910558","6.63147926400895917100","Low"
"2021-02-21",NULL,"36910558",NULL,"Low"
"2021-02-22","2552017","36910558","6.91405694815017426700","Low"
"2021-02-23","2635859","36910558","7.14120604733203979200","Low"
"2021-02-24","2911635","36910558","7.88835270385237741500","Low"
"2021-02-25","3160479","36910558","8.56253378775796345300","Low"
"2021-02-26","3327858","36910558","9.01600566428716683200","Low"
"2021-02-27","3435997","36910558","9.30898145728384816100","Low"
"2021-02-28",NULL,"36910558",NULL,"Low"
"2021-03-01","3568670","36910558","9.66842603679955204100","Low"
"2021-03-02","3657468","36910558","9.90900218847951309800","Low"
"2021-03-03","3745173","36910558","10.14661712781475695900","Low"
"2021-03-04","3820097","36910558","10.34960511840541668300","Low"
"2021-03-05","3877687","36910558","10.50563093627573985700","Low"
"2021-03-06","3913615","36910558","10.60296893913118300700","Low"
"2021-03-07",NULL,"36910558",NULL,"Low"
"2021-03-08","3961941","36910558","10.73389624724719685900","Low"
"2021-03-09","4017087","36910558","10.88330065343363272900","Low"
"2021-03-10","4080009","36910558","11.05377220252264948100","Low"
"2021-03-11","4130606","36910558","11.19085222174099887600","Low"
"2021-03-12","4169133","36910558","11.29523157032738437600","Low"
"2021-03-13","4210770","36910558","11.40803669237403563500","Low"
"2021-03-14",NULL,"36910558",NULL,"Low"
"2021-03-15","4225311","36910558","11.44743192449163190700","Low"
"2021-03-16","4236386","36910558","11.47743688946669405500","Low"
"2021-03-17","4244651","36910558","11.49982885655643569500","Low"
"2021-03-18",NULL,"36910558",NULL,"Low"
"2021-03-19","4258813","36910558","11.53819728219768446700","Low"
"2021-03-20","4264168","36910558","11.55270532621045718100","Low"
"2021-03-21",NULL,"36910558",NULL,"Low"
"2021-03-22","4264761","36910558","11.55431191259693229200","Low"
"2021-03-23","4265196","36910558","11.55549043718060290500","Low"
"2021-03-24","4284060","36910558","11.60659776533316023000","Low"
"2021-03-25","4289281","36910558","11.62074276958912406600","Low"
"2021-03-26","4293544","36910558","11.63229231050909606900","Low"
"2021-03-27","4302183","36910558","11.65569753781560278800","Low"
"2021-03-28",NULL,"36910558",NULL,"Low"
"2021-03-29","4302897","36910558","11.65763194368397248300","Low"
"2021-03-30","4315802","36910558","11.69259483966620065700","Low"
"2021-03-31","4320349","36910558","11.70491380813045416400","Low"
"2021-04-01","4329244","36910558","11.72901260392758082900","Low"
"2021-04-02","4331082","36910558","11.73399220895007872800","Low"
"2021-04-03","4348995","36910558","11.78252303853005961100","Low"
"2021-04-04",NULL,"36910558",NULL,"Low"
"2021-04-05","4352033","36910558","11.79075374585233851000","Low"
"2021-04-06","4382917","36910558","11.87442628204103552200","Low"
"2021-04-07","4410023","36910558","11.94786326448925535100","Low"
"2021-04-08","4433939","36910558","12.01265773332389068700","Low"
"2021-04-09","4449047","36910558","12.05358911127813348100","Low"
"2021-04-10","4471831","36910558","12.11531670694330874100","Low"
"2021-04-11","4486628","36910558","12.15540550755152495900","Low"
"2021-04-12",NULL,"36910558",NULL,"Low"
"2021-04-13","4495477","36910558","12.17937967776049335300","Low"
"2021-04-14","4529399","36910558","12.27128292127146926400","Low"
"2021-04-15","4554000","36910558","12.33793322766889625500","Low"
"2021-04-16","4583664","36910558","12.41830047651948258300","Low"
"2021-04-17","4655007","36910558","12.61158663599721250500","Low"
"2021-04-18",NULL,"36910558",NULL,"Low"
"2021-04-19","4672326","36910558","12.65850816993880179200","Low"
"2021-04-20","4684557","36910558","12.69164503012931963800","Low"
"2021-04-21","4697873","36910558","12.72772142864922280500","Low"
"2021-04-22","4707658","36910558","12.75423145865202037900","Low"
"2021-04-23","4723635","36910558","12.79751717652168791400","Low"
"2021-04-24",NULL,"36910558",NULL,"Low"
"2021-04-25",NULL,"36910558",NULL,"Low"
"2021-04-26","4731440","36910558","12.81866288772984683700","Low"
"2021-04-27","4808303","36910558","13.02690411778656936000","Low"
"2021-04-28","4985094","36910558","13.50587547335372171800","Low"
"2021-04-29",NULL,"36910558",NULL,"Low"
"2021-04-30","5054642","36910558","13.69429852564136256100","Low"
